ilkid	gp	minutes	pts	reb	asts	turnover	fga	fgm
BONDWA01  	153	2427	873	289	177	146	805	329
BONEYDE01 	8	48	19	6	0	1	19	6
BONHARO01 	42	426	245	57	14	32	210	80
BONHARO01 	76	681	478	113	30	0	427	167
BONNEAN01 	318	7372	2199	1726	442	450	1881	881
BONNEMA01 	364	6705	2440	1303	240	173	1995	949
BONSAGE01 	3	9	4	2	0	0	8	2
BOOKEBU01 	12	221	70	91	6	0	61	30
BOOKEME01 	32	561	166	38	74	39	155	62
BooneJo01 	193	3441	1087	948	96	132	820	450
BOONERO01 	379	10795	5284	1046	1273	758	4703	2134
BOONERO01 	662	21596	12153	3302	2569	1773	10101	4695
BOOTHCA01 	366	4479	1190	1010	151	180	1047	472
BOOTHKE01 	45	449	130	97	39	42	157	51
BOOZEBO01 	874	25549	12964	7119	1237	0	10738	4961
BOOZECA01 	432	14025	7274	4302	1019	926	5571	2989
BORCHCU01 	83	1117	258	278	64	70	228	96
BORNHJA01 	75	0	342	0	53	0	414	122
BORRELA01 	17	167	62	40	10	6	63	28
BORSACO01 	24	0	64	24	4	0	74	26
BORYLVI01 	285	5162	3187	831	610	0	3200	1187
BOSHCH01  	439	16293	8597	4017	949	957	6188	3014
BOSTIJI01 	4	48	26	16	3	3	22	12
BOSTOLA01 	13	125	56	39	2	8	52	24
BOSWETO01 	366	7046	2821	1709	591	474	2058	1096
BOUMTRU01 	44	275	43	57	6	14	38	14
BOVENDO01 	195	3355	1763	553	393	0	1653	561
BOWDLCA01 	142	1380	424	272	29	43	403	163
BOWENBR01 	873	24060	5290	2428	1089	646	4760	1945
BOWENRY01 	506	6493	1315	1058	250	168	1191	543
BOWENTO01 	211	3590	1132	1007	134	194	1157	473
BOWIEAN01 	461	8350	2945	1021	840	479	2629	1247
BOWIESA01 	511	14098	5564	3845	1075	978	4702	2127
BOWLIOR01 	11	90	21	29	1	6	28	9
BOWMAIR01 	17	68	15	5	9	2	11	7
BOWMANA01 	18	217	43	87	13	17	53	19
BOWMANA01 	243	2171	702	791	162	0	764	298
BOYCEDO01 	30	195	79	25	16	22	86	30
BOYDDE01  	5	40	6	2	7	6	12	3
BOYDFR01  	327	7723	2784	533	986	20	2817	1165
BOYDKE01  	6	25	19	5	2	0	13	7
BOYKIEA01 	520	10875	4904	736	1764	628	4189	1736
BOYKOHA01 	109	0	1105	220	209	0	1034	414
BOYNEWI01 	177	3035	1478	363	207	284	1375	598
BozemCe01 	23	198	26	23	9	9	39	11
BRACEST01 	187	2853	1141	291	408	0	1045	487
BRADDGA01 	210	4861	2962	1306	207	256	2216	1060
BRADDGA01 	44	350	144	92	20	0	117	48
BRADLAL01 	99	1139	440	151	74	80	440	184
BRADLAL02 	39	331	137	65	11	28	103	54
BRADLBI01 	742	22799	9217	2354	2533	0	8763	3927
BRADLBI02 	58	521	218	47	54	50	258	82
BRADLCH01 	110	910	347	119	55	87	305	127
BRADLDU01 	600	10192	3131	1098	1147	682	2780	1222
BRADLJI01 	98	1913	687	528	128	133	674	289
BRADLJO01 	46	0	87	0	36	0	134	36
BRADLMI01 	173	2016	483	591	93	113	457	218
BRADLSH01 	832	19532	6752	5268	573	1059	5935	2713
BRADTMA01 	36	251	59	68	7	9	58	25
BRAGGMA01 	53	369	131	79	8	26	120	54
BRAGGTO01 	22	178	46	51	7	15	40	19
BRAMLAJ01 	8	61	8	22	0	3	21	4
BRANCAD01 	130	1429	834	253	96	125	727	331
BRANDEL01 	643	24426	12852	6520	1674	1617	9789	4920
BRANDTE01 	724	21546	9994	2174	4407	1419	8710	3908
BRANNBO01 	338	6576	2455	1944	699	0	2581	887
BRANSBR01 	72	856	391	206	52	58	360	152
BRANSJE01 	78	1892	1086	541	67	115	877	376
BRANSJE01 	5	14	5	9	1	0	6	1
BRASCJI01 	30	359	110	39	33	0	142	36
BRATZMI01 	586	10613	4081	1030	1851	854	3880	1578
BRAUNCA01 	788	18409	10625	2122	2892	0	10211	3912
BREAUTI01 	102	940	299	96	41	47	293	108
BREMEJR01 	100	1946	646	181	215	83	622	214
BRENNPE01 	16	136	40	31	6	0	43	13
BRENNTO01 	11	52	10	5	2	0	11	5
BREUERA01 	681	12499	4599	2986	616	681	4060	1898
BreweCo01 	94	2113	552	342	136	102	576	219
BREWEJA01 	54	468	89	50	56	32	94	35
BREWEJI01 	703	15936	4099	4458	1038	332	3983	1785
BREWERO01 	501	12892	5971	971	920	706	5437	2497
BreweRo02 	213	5364	2285	593	337	203	1655	877
BREZEPR01 	321	6106	2433	1302	178	272	2008	1003
BRIANFR01 	438	7616	5379	903	1138	0	5192	1765
BRICKFR01 	731	16278	7302	3410	1384	1372	5538	2873
BRIDGBI01 	926	30878	11012	11054	2553	0	9463	4181
BRIDGJU01 	849	21257	11517	2995	2066	1169	10099	4801
BRIGHAL01 	58	0	567	0	60	0	870	223
BRINDAU01 	12	0	34	0	1	0	49	14
BRISKJO01 	126	2626	1498	498	225	0	1346	590
BRISKJO01 	205	7327	5349	1654	562	210	4561	2088
BRISTAL01 	47	882	328	174	121	63	271	125
BRISTAL01 	648	13277	5122	2613	2098	800	4296	1977
BRITTDA01 	2	9	4	2	3	2	3	2
BRITTMI01 	38	248	63	53	7	22	52	26
BRITTTY01 	11	84	28	15	12	0	34	13
BRITTWA01 	7	16	9	4	2	1	10	3
BROGAJI01 	121	1493	619	182	222	126	577	256
BROKAGA01 	241	4724	1928	407	715	12	1640	731
BrookAa01 	131	2606	1158	213	325	169	1008	409
BROOKCL01 	8	59	21	12	1	0	26	8
BROOKKE01 	126	1031	417	141	48	69	429	172
BROOKMI01 	319	9372	4086	2001	818	638	3445	1673
BROOKPR01 	61	0	476	0	137	0	661	187
BROOKSC01 	680	9237	3317	685	1608	451	2738	1233
BrownAn01 	75	598	197	178	11	48	159	82
BROWNBO01 	82	0	832	0	115	0	875	313
BrownBo02 	68	934	361	52	117	63	360	141
BROWNCH01 	693	11948	4122	2147	549	537	3486	1711
BROWNDA01 	3	0	4	0	0	0	6	2
BROWNDA02 	39	350	108	52	19	31	128	43
BROWNDE01 	608	16843	6758	1556	2223	920	5823	2540
BROWNDE02 	416	7962	2956	1158	615	441	2572	1039
BrownDe03 	68	711	140	69	119	48	147	50
BROWNER01 	3	21	3	6	0	3	6	1
BROWNFR01 	963	24422	14018	2637	3160	840	12568	6006
BROWNGE01 	1	6	1	1	0	0	2	0
BROWNGE02 	33	236	80	22	31	22	89	33
BROWNHA01 	54	0	264	0	39	0	383	95
BROWNJI01 	35	0	50	0	8	0	50	18
BROWNJO01 	486	10108	3614	2126	703	234	2979	1348
BROWNKE01 	143	1934	509	347	103	64	501	203
BROWNKW01 	462	10559	3256	2575	476	637	2512	1224
BROWNLA01 	376	11309	4229	1005	2509	903	3357	1384
BROWNLE01 	5	0	0	0	0	0	3	0
BROWNLE02 	2	5	2	2	0	1	3	0
BROWNMA01 	27	229	92	22	23	16	84	32
BROWNMI01 	626	10961	3130	2762	424	643	2476	1126
BROWNMY01 	4	23	9	3	6	4	6	4
BROWNPJ01 	1089	33818	9870	8404	1661	1342	8365	3852
BROWNRA01 	655	11533	3148	1173	1420	725	3055	1275
BROWNRA02 	16	56	16	15	4	6	28	8
BROWNRI01 	340	4487	1482	1200	119	301	1322	614
BROWNRO01 	605	21454	10498	3758	2315	1033	8227	3860
BROWNRO02 	162	1860	450	605	93	143	450	185
BROWNRO02 	77	818	135	230	25	0	131	51
BrownSh01 	90	895	380	84	63	75	354	147
BROWNST01 	34	141	104	17	10	0	134	41
BROWNTI01 	134	1654	527	166	266	143	526	202
BROWNTO01 	360	6006	2163	766	563	392	1969	860
BRUNDST01 	16	128	37	26	3	6	30	15
BRUNKBR01 	3	56	25	13	3	5	11	6
BRUNSGE01 	13	236	86	8	36	20	66	31
BRUNSRI01 	337	4535	1090	448	876	356	1050	397
BRYANEM01 	566	11451	3722	1593	1700	0	3665	1501
BRYANJO01 	606	12845	5252	2441	1049	935	4648	2093
BRYANKO01 	948	34538	23820	5018	4402	2752	18162	8256
BRYANMA01 	797	13480	4313	2993	491	661	3481	1739
BRYANWA01 	102	1395	323	374	112	71	329	134
BRYNTO01  	3	10	4	2	0	1	2	0
BUCCIGE01 	33	237	128	37	15	22	124	50
BUCKHJO01 	65	740	375	265	43	0	339	153
BUCKNCL01 	68	723	411	240	44	0	377	163
BUCKNGR01 	570	10893	2878	1593	719	394	2491	1120
BUCKNQU01 	719	16245	5929	1969	3114	1382	5527	2546
BUCKNST01 	18	75	23	7	10	11	33	9
BUDDDA01  	353	6389	2505	1623	337	0	2092	962
BUDKOWA01 	253	1126	2037	684	471	0	2000	684
BUECHJU01 	720	8446	2385	1266	560	297	2221	961
BUFORRO01 	230	4184	1472	598	179	140	1530	630
BULLAMA01 	615	8884	3270	1223	535	319	2907	1215
BUNCELA01 	129	3070	1142	821	94	192	919	386
BUNCHGR01 	12	97	28	17	4	5	26	9
BUNTDI01  	26	271	92	28	17	0	107	29
BUNTIBI01 	145	1939	623	417	95	5	508	214
BUNTIBI02 	42	713	324	252	36	0	299	118
BURDELU01 	71	2181	1413	202	131	181	1247	561
BURDELU01 	63	623	349	66	63	0	354	149
BURKEPA01 	127	1294	468	266	44	87	488	199
BURKMRO01 	6	30	5	6	5	3	4	0
BURKSAN01 	81	791	186	49	104	48	204	79
BURLEKE01 	39	342	70	26	48	25	88	22
BURLETO01 	446	9425	4190	2794	601	236	3526	1568
BURMAJA01 	61	0	598	0	179	0	711	237
BURNSDA01 	9	87	23	5	15	13	16	7
BURNSEV01 	23	143	56	30	9	7	55	22
BURNSJI01 	36	403	159	62	25	42	144	54
